Data Source,World Development Indicators,
Last Updated Date,2/05/2018,
,,
Country Name,GDP per capita (constant 2010 US$),Life expectancy at birth
Argentina,7056.8480638535,66.449
Australia,26020.2079448989,71.0185365853659
Austria,19598.9316270442,69.9146341463415
Burundi,265.229179977529,43.829
Belgium,20070.5479732956,70.9719512195122
Benin,581.235118982927,42.152
Burkina Faso,273.331515512249,39.095
Bangladesh,406.030709159679,47.523
"Bahamas, The",19743.2903950452,65.943
Belize,1336.65355452179,65.566
Bermuda,42055.0304719923,70.29
Bolivia,1392.75207133517,45.671
Brazil,4706.12639251504,59.154
Botswana,672.227358643757,54.609
Central African Republic,599.012401670557,41.946
Canada,24629.2155640412,72.7004878048781
Chile,4656.62432742594,62.311
China,228.317702823625,59.085
Cote d'Ivoire,1886.62157105969,43.695
Cameroon,928.959997816034,46.104
"Congo, Dem. Rep.",1015.53636715741,43.915
"Congo, Rep.",1630.60764688803,53.38
Colombia,2759.92695565024,60.91
Costa Rica,3707.09645298422,66.439
Caribbean small states,5510.4499679812,65.7361876885542
Cuba,2249.08258326658,69.812
Germany,19624.7497590296,70.6397804878049
Denmark,30541.9261314246,73.3434146341463
Dominican Republic,1636.85703862084,58.468
Algeria,2691.80231716574,50.369
East Asia & Pacific (excluding high income),357.944044315424,58.3893359716109
Early-demographic dividend,1543.87480066481,51.0366907770491
East Asia & Pacific,2199.6109533622,59.9089070965428
Europe & Central Asia,11454.7675934621,68.9930416292632
Ecuador,2486.44240754083,57.783
"Egypt, Arab Rep.",792.351949491748,52.155
Euro area,17523.3455028637,71.1583122930886
Spain,13542.9637099591,72.0273170731707
European Union,15331.1878846172,70.9988105065152
Finland,18373.79065166,70.179512195122
Fiji,2207.62638196224,59.857
France,20090.7709227215,71.6585365853659
Gabon,7189.07612117369,46.698
United Kingdom,17934.1914233533,71.9731707317073
Georgia,2381.25034848684,67.452
Ghana,1093.71549378129,49.339
"Gambia, The",459.245578183406,37.824
Guinea-Bissau,488.413509336225,41.538
Greece,13392.3081358857,70.9036341463415
Guatemala,1870.7866669219,52.501
Guyana,1926.2526587952,61.789
High income,17871.406343818,70.5760291501914
"Hong Kong SAR, China",5796.13303733505,71.386512195122
Honduras,1309.7998826202,52.523
Heavily indebted poor countries (HIPC),678.895783453857,43.6866204110467
IBRD only,1496.02132737168,57.039386023017
IDA & IBRD total,1367.32720912499,55.2307378308688
IDA total,730.256470056267,46.5479787405589
IDA blend,1004.80512314659,49.2844584219135
Indonesia,771.849959987718,54.537
IDA only,615.789965850925,45.2469064665912
India,365.057382589569,47.721
Ireland,12430.7223546908,71.0314390243903
"Iran, Islamic Rep.",6230.37665328143,50.856
Iraq,1465.97048499386,58.199
Iceland,16082.5278150759,73.9339024390244
Israel,14476.7253437699,71.2134146341464
Italy,17653.0152595722,71.5587804878049
Jamaica,4580.64120675655,68.324
Japan,18435.4550759197,71.950243902439
Kenya,601.070778012275,52.222
Kiribati,2404.55747275348,54.384
"Korea, Rep.",1815.0177529679,62.1634146341463
Latin America & Caribbean (excluding high income),4689.44943099027,60.1075262318182
Liberia,1624.33187973852,39.254
Latin America & Caribbean,4784.41678066085,60.4019911967897
Sri Lanka,711.838414337475,64.097
Lower middle income,686.885819822489,50.9033359532895
Low & middle income,1324.8781708723,55.0884898238397
Lesotho,347.955952658156,49.037
Late-demographic dividend,1314.66448240846,60.7693452690371
Luxembourg,35457.2357263496,69.9834634146341
Morocco,1019.55187681249,52.572
Madagascar,746.521973479786,44.771
Middle East & North Africa,4158.13479881498,52.9266132077517
Mexico,5212.90168474726,61.369
Middle income,1387.56288002936,55.9526098064843
Mali,360.534650285483,32.388
Malta,3742.80828399907,71.33
Myanmar,169.688262077814,50.989
Middle East & North Africa (excluding high income),2620.75376870397,52.3601623420991
Mauritania,1296.3616535581,49.13
Malawi,299.528548100157,40.558
Malaysia,1993.44957101601,64.445
North America,23438.4462090596,70.9854796049968
Niger,605.909763057725,35.884
Nigeria,1616.18743248417,40.97
Nicaragua,2177.57649043587,53.685
Netherlands,24369.0302570506,73.5856097560976
Norway,32267.0796772023,74.0880487804878
Nepal,286.232737483245,40.544
OECD members,16983.7077583267,69.5099492863649
Oman,9239.14520111796,50.31
Pakistan,473.077412575371,52.837
Panama,3402.31887613686,65.529
Peru,3381.86401945662,53.457
Philippines,1256.99679420674,60.832
Papua New Guinea,1753.82577080798,48.512
Pre-demographic dividend,980.517670096228,43.2439155163847
Puerto Rico,10611.3897689072,71.5355365853659
Portugal,8770.31069347351,67.0731707317073
Paraguay,1297.65523865282,65.486
Post-demographic dividend,17506.0195354022,70.8342467820774
Rwanda,335.984889693509,44.338
South Asia,379.859506345018,48.1096261476058
Saudi Arabia,22133.9049242035,52.693
Sudan,786.138327414573,52.234
Senegal,983.378030611951,39.227
Singapore,6506.93815264069,68.2794146341464
Sierra Leone,486.165027544466,34.601
El Salvador,2565.35343500236,54.987
Sub-Saharan Africa (excluding high income),1336.46788234965,44.5027721150378
Sub-Saharan Africa,1336.82739800997,44.5027721150378
Sweden,26464.3357352502,74.6492682926829
Swaziland,1186.00262899294,48.041
Chad,634.169056579848,41.332
East Asia & Pacific (IDA & IBRD countries),361.925343901243,58.3727668142994
Togo,579.323494074324,46.568
Thailand,929.081632256364,59.387
Latin America & the Caribbean (IDA & IBRD countries),4783.63472903641,59.982125192159
Middle East & North Africa (IDA & IBRD countries),2603.66750337775,52.3601623420991
South Asia (IDA & IBRD),379.859506345018,48.1096261476058
Sub-Saharan Africa (IDA & IBRD countries),1336.82739800997,44.5027721150378
Trinidad and Tobago,7201.68056053965,65.081
Tunisia,1254.23470282186,51.145
Turkey,4221.0216860958,52.286
Upper middle income,1975.85904709941,60.1875161108436
Uruguay,5670.61071633494,68.617
United States,23309.6209459064,70.8073170731707
St. Vincent and the Grenadines,1829.39755729612,65.1
"Venezuela, RB",14329.419572883,64.569
World,5166.36762525239,58.6533482244209
South Africa,6030.65644431476,55.852
Zambia,1582.77318480586,49.039
Zimbabwe,1194.17138614533,54.92
