"Test matches, career batting records",,,,,,,,,,
,,,,,,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,Hundred,Fifty,Duck
PJ Cummins (Australia),2011-2018,14,22,4,365,50,20.27,0,1,3
AC Dale (Australia),1998-1999,2,3,0,6,5,2,0,0,1
J Darling (Australia),1894-1905,34,60,2,1657,178,28.56,3,8,8
LS Darling (Australia),1933-1937,12,18,1,474,85,27.88,0,3,2
WM Darling (Australia),1978-1979,14,27,1,697,91,26.8,0,6,1
AK Davidson (Australia),1953-1963,44,61,7,1328,80,24.59,0,5,1
IC Davis (Australia),1973-1977,15,27,1,692,105,26.61,1,4,3
SP Davis (Australia),1986-1986,1,1,0,0,0,0,0,0,1
JH de Courcy (Australia),1953-1953,3,6,1,81,41,16.2,0,0,0
AR Dell (Australia),1971-1974,2,2,2,6,3*,-,0,0,0
AIC Dodemaide (Australia),1987-1992,10,15,6,202,50,22.44,0,1,0
XJ Doherty (Australia),2010-2013,4,7,3,51,18*,12.75,0,0,0
H Donnan (Australia),1892-1896,5,10,1,75,15,8.33,0,0,1
AJ Doolan (Australia),2014-2014,4,8,0,191,89,23.87,0,1,1
B Dooland (Australia),1947-1948,3,5,1,76,29,19,0,0,0
RA Duff (Australia),1902-1905,22,40,3,1317,146,35.59,2,6,0
JRF Duncan (Australia),1971-1971,1,1,0,3,3,3,0,0,0
GC Dyer (Australia),1986-1988,6,6,0,131,60,21.83,0,1,1
G Dymock (Australia),1974-1980,21,32,7,236,31*,9.44,0,0,7
J Dyson (Australia),1977-1984,30,58,7,1359,127*,26.64,2,5,4
CJ Eady (Australia),1896-1902,2,4,1,20,10*,6.66,0,0,0
KH Eastwood (Australia),1971-1971,1,2,0,5,5,2.5,0,0,1
HI Ebeling (Australia),1934-1934,1,2,0,43,41,21.5,0,0,0
JD Edwards (Australia),1888-1888,3,6,1,48,26,9.6,0,0,3
R Edwards (Australia),1972-1975,20,32,3,1171,170*,40.37,2,9,4
WJ Edwards (Australia),1974-1974,3,6,0,68,30,11.33,0,0,2
MTG Elliott (Australia),1996-2004,21,36,1,1172,199,33.48,3,4,5
PA Emery (Australia),1994-1994,1,1,1,8,8*,-,0,0,0
SH Emery (Australia),1912-1912,4,2,0,6,5,3,0,0,0
E Evans (Australia),1881-1886,6,10,2,82,33,10.25,0,0,3
AG Fairfax (Australia),1929-1931,10,12,4,410,65,51.25,0,4,0
JP Faulkner (Australia),2013-2013,1,2,0,45,23,22.5,0,0,0
LE Favell (Australia),1954-1961,19,31,3,757,101,27.03,1,5,2
CJ Ferguson (Australia),2016-2016,1,2,0,4,3,2,0,0,0
