"Test matches, career batting records",,,,,,,,,,
,,,,,,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,Hundred,Fifty,Duck
RA Saggers (Australia),1948-1950,6,5,2,30,14,10,0,0,0
JV Saunders (Australia),1902-1908,14,23,6,39,11*,2.29,0,0,8
CJ Sayers (Australia),2018-2018,1,2,0,0,0,0,0,0,2
HJH Scott (Australia),1884-1886,8,14,1,359,102,27.61,1,1,0
RHD Sellers (Australia),1964-1964,1,1,0,0,0,0,0,0,1
CS Serjeant (Australia),1977-1978,12,23,1,522,124,23.72,1,2,4
AP Sheahan (Australia),1967-1974,31,53,6,1594,127,33.91,2,7,3
BK Shepherd (Australia),1963-1965,9,14,2,502,96,41.83,0,5,1
PM Siddle (Australia),2008-2016,62,86,14,1063,51,14.76,0,2,16
MW Sievers (Australia),1936-1937,3,6,1,67,25*,13.4,0,0,0
RB Simpson (Australia),1957-1978,62,111,7,4869,311,46.81,10,27,8
DJ Sincock (Australia),1964-1966,3,4,1,80,29,26.66,0,0,0
KN Slater (Australia),1959-1959,1,1,1,1,1*,-,0,0,0
MJ Slater (Australia),1993-2001,74,131,7,5312,219,42.83,14,21,9
PR Sleep (Australia),1979-1990,14,21,1,483,90,24.15,0,3,4
J Slight (Australia),1880-1880,1,2,0,11,11,5.5,0,0,1
DBM Smith (Australia),1912-1912,2,3,1,30,24*,15,0,0,1
SB Smith (Australia),1984-1984,3,5,0,41,12,8.2,0,0,0
SPD Smith (Australia),2010-2018,64,117,16,6199,239,61.37,23,24,4
FR Spofforth (Australia),1877-1887,18,29,6,217,50,9.43,0,1,6
KR Stackpole (Australia),1966-1974,43,80,5,2807,207,37.42,7,14,5
MA Starc (Australia),2011-2018,43,66,12,1171,99,21.68,0,9,10
GB Stevens (Australia),1959-1960,4,7,0,112,28,16,0,0,0
A Symonds (Australia),2004-2008,26,41,5,1462,162*,40.61,2,10,4
HB Taber (Australia),1966-1970,16,27,5,353,48,16.04,0,0,3
SW Tait (Australia),2005-2008,3,5,2,20,8,6.66,0,0,0
D Tallon (Australia),1946-1953,21,26,3,394,92,17.13,0,2,3
JM Taylor (Australia),1920-1926,20,28,0,997,108,35.6,1,8,1
MA Taylor (Australia),1989-1999,104,186,13,7525,334*,43.49,19,40,5
PL Taylor (Australia),1987-1991,13,19,3,431,87,26.93,0,2,1
G Thomas (Australia),1965-1966,8,12,1,325,61,29.54,0,3,0
GR Thoms (Australia),1952-1952,1,2,0,44,28,22,0,0,0
AL Thomson (Australia),1970-1971,4,5,4,22,12*,22,0,0,1
JR Thomson (Australia),1972-1985,51,73,20,679,49,12.81,0,0,14
NFD Thomson (Australia),1877-1877,2,4,0,67,41,16.75,0,0,0
HM Thurlow (Australia),1932-1932,1,1,0,0,0,0,0,0,1
PM Toohey (Australia),1977-1980,15,29,1,893,122,31.89,1,7,3
ERH Toshack (Australia),1946-1948,12,11,6,73,20*,14.6,0,0,1
JPF Travers (Australia),1902-1902,1,2,0,10,9,5,0,0,0
GE Tribe (Australia),1946-1947,3,3,1,35,25*,17.5,0,0,0
AE Trott (Australia),1895-1895,3,5,3,205,85*,102.5,0,2,1
GHS Trott (Australia),1888-1898,24,42,0,921,143,21.92,1,4,7
H Trumble (Australia),1890-1904,32,57,14,851,70,19.79,0,4,7
JW Trumble (Australia),1885-1886,7,13,1,243,59,20.25,0,1,1
VT Trumper (Australia),1899-1912,48,89,8,3163,214*,39.04,8,13,7
A Turner (Australia),1975-1977,14,27,1,768,136,29.53,1,3,2
CTB Turner (Australia),1887-1895,17,32,4,323,29,11.53,0,0,6
TR Veivers (Australia),1963-1967,21,30,4,813,88,31.26,0,7,3
MRJ Veletta (Australia),1987-1990,8,11,0,207,39,18.81,0,0,0
AC Voges (Australia),2015-2016,20,31,7,1485,269*,61.87,5,4,2
MS Wade (Australia),2012-2017,22,38,7,886,106,28.58,2,4,1
MG Waite (Australia),1938-1938,2,3,0,11,8,3.66,0,0,1
MHN Walker (Australia),1972-1977,34,43,13,586,78*,19.53,0,1,5
TW Wall (Australia),1929-1934,18,24,5,121,20,6.36,0,0,5
FH Walters (Australia),1885-1885,1,2,0,12,7,6,0,0,0
KD Walters (Australia),1965-1981,74,125,14,5357,250,48.26,15,33,4
FA Ward (Australia),1936-1938,4,8,2,36,18,6,0,0,2
SK Warne (Australia),1992-2007,145,199,17,3154,99,17.32,0,12,34
DA Warner (Australia),2011-2018,74,137,5,6363,253,48.2,21,29,6
JR Watkins (Australia),1973-1973,1,2,1,39,36,39,0,0,0
GD Watson (Australia),1966-1972,5,9,0,97,50,10.77,0,1,3
SR Watson (Australia),2005-2015,59,109,3,3731,176,35.19,4,24,6
WJ Watson (Australia),1955-1955,4,7,1,106,30,17.66,0,0,1
ME Waugh (Australia),1991-2002,128,209,17,8029,153*,41.81,20,47,19
SR Waugh (Australia),1985-2004,168,260,46,10927,200,51.06,32,50,22
DM Wellham (Australia),1981-1987,6,11,0,257,103,23.36,1,0,0
KC Wessels (Australia),1982-1985,24,42,1,1761,179,42.95,4,9,3
DF Whatmore (Australia),1979-1979,7,13,0,293,77,22.53,0,2,1
CL White (Australia),2008-2008,4,7,2,146,46,29.2,0,0,0
MR Whitney (Australia),1981-1992,12,19,8,68,13,6.18,0,0,4
WJ Whitty (Australia),1909-1912,14,19,7,161,39*,13.41,0,0,3
JM Wiener (Australia),1979-1980,6,11,0,281,93,25.54,0,2,0
BA Williams (Australia),2003-2004,4,6,3,23,10*,7.66,0,0,1
JW Wilson (Australia),1956-1956,1,-,-,-,-,-,-,-,-
P Wilson (Australia),1998-1998,1,2,2,0,0*,-,0,0,0
GM Wood (Australia),1978-1988,59,112,6,3374,172,31.83,9,13,9
AJ Woodcock (Australia),1974-1974,1,1,0,27,27,27,0,0,0
WM Woodfull (Australia),1926-1934,35,54,4,2300,161,46,7,13,6
SMJ Woods (Australia),1888-1888,3,6,0,32,18,5.33,0,0,2
RD Woolley (Australia),1983-1984,2,2,0,21,13,10.5,0,0,0
J Worrall (Australia),1885-1899,11,22,3,478,76,25.15,0,5,2
KJ Wright (Australia),1979-1979,10,18,5,219,55*,16.84,0,1,2
GN Yallop (Australia),1976-1984,39,70,3,2756,268,41.13,8,9,3
B Yardley (Australia),1978-1983,33,54,4,978,74,19.56,0,4,8
S Young (Australia),1997-1997,1,2,1,4,4*,4,0,0,1
TJ Zoehrer (Australia),1986-1987,10,14,2,246,52*,20.5,0,1,0
Abdur Razzak (Bangladesh),2006-2018,13,22,6,248,43,15.5,0,0,1
Abul Hasan (Bangladesh),2012-2013,3,5,3,165,113,82.5,1,0,0
Aftab Ahmed (Bangladesh),2004-2010,16,31,3,582,82*,20.78,0,1,4
Akram Khan (Bangladesh),2000-2003,8,16,0,259,44,16.18,0,0,0
Alamgir Kabir (Bangladesh),2002-2004,3,5,1,8,4,2,0,0,2
Alok Kapali (Bangladesh),2002-2006,17,34,1,584,85,17.69,0,2,6
Al-Amin Hossain (Bangladesh),2013-2014,6,9,6,68,32*,22.66,0,0,0
Al Sahariar (Bangladesh),2000-2003,15,30,0,683,71,22.76,0,4,2
Aminul Islam (Bangladesh),2000-2002,13,26,1,530,145,21.2,1,2,3
Anamul Haque (Bangladesh),2013-2014,4,8,0,73,22,9.12,0,0,1
Anwar Hossain Monir (Bangladesh),2003-2005,3,6,3,22,13,7.33,0,0,1
Anwar Hossain (Bangladesh),2002-2002,1,2,0,14,12,7,0,0,0
Ehsanul Haque (Bangladesh),2002-2002,1,2,0,7,5,3.5,0,0,0
Elias Sunny (Bangladesh),2011-2013,4,6,1,38,20*,7.6,0,0,2
Enamul Haque (Bangladesh),2001-2003,10,19,4,180,24*,12,0,0,3
Enamul Haque jnr (Bangladesh),2003-2013,15,26,16,59,13,5.9,0,0,4
Fahim Muntasir (Bangladesh),2002-2002,3,6,0,52,33,8.66,0,0,1
Faisal Hossain (Bangladesh),2004-2004,1,2,0,7,5,3.5,0,0,0
Habibul Bashar (Bangladesh),2000-2008,50,99,1,3026,113,30.87,3,24,7
Hannan Sarkar (Bangladesh),2002-2004,17,33,0,662,76,20.06,0,5,5
Hasibul Hossain (Bangladesh),2000-2001,5,10,1,97,31,10.77,0,0,2
Imrul Kayes (Bangladesh),2008-2018,34,66,2,1679,150,26.23,3,4,3
Jahurul Islam (Bangladesh),2010-2013,7,14,1,347,48,26.69,0,0,2
Javed Omar (Bangladesh),2001-2007,40,80,2,1720,119,22.05,1,8,5
Jubair Hossain (Bangladesh),2014-2015,6,5,2,13,7*,4.33,0,0,1
Junaid Siddique (Bangladesh),2008-2012,19,37,0,969,106,26.18,1,7,2
Kamrul Islam Rabbi (Bangladesh),2016-2017,5,10,4,44,25*,7.33,0,0,3
Khaled Mahmud (Bangladesh),2001-2003,12,23,1,266,45,12.09,0,0,4
Khaled Mashud (Bangladesh),2000-2007,44,84,10,1409,103*,19.04,1,3,11
Liton Das (Bangladesh),2015-2018,8,13,0,385,94,29.61,0,3,1
Mahbubul Alam (Bangladesh),2008-2008,4,7,3,5,2,1.25,0,0,2
Mahmudullah (Bangladesh),2009-2018,37,70,4,2065,115,31.28,1,15,7
Manjural Islam (Bangladesh),2001-2004,17,33,11,81,21,3.68,0,0,10
Manjural Islam Rana (Bangladesh),2004-2004,6,11,1,257,69,25.7,0,1,2
Marshall Ayub (Bangladesh),2013-2014,3,6,0,125,41,20.83,0,0,0
Mashrafe Mortaza (Bangladesh),2001-2009,36,67,5,797,79,12.85,0,3,12
Mehidy Hasan Miraz (Bangladesh),2016-2018,12,23,4,346,51,18.21,0,1,1
Mehrab Hossain (Bangladesh),2000-2003,9,18,0,241,71,13.38,0,1,2
Mehrab Hossain jnr (Bangladesh),2007-2009,7,13,1,243,83,20.25,0,1,1
Mohammad Ashraful (Bangladesh),2001-2013,61,119,5,2737,190,24,6,8,16
Mohammad Rafique (Bangladesh),2000-2008,33,63,6,1059,111,18.57,1,4,8
Mohammad Salim (Bangladesh),2003-2003,2,4,1,49,26,16.33,0,0,1
Mohammad Shahid (Bangladesh),2015-2015,5,6,1,57,25,11.4,0,0,0
Mohammad Sharif (Bangladesh),2001-2007,10,20,3,122,24*,7.17,0,0,7
Mominul Haque (Bangladesh),2013-2018,27,50,4,2154,181,46.82,6,12,4
Mosaddek Hossain (Bangladesh),2017-2018,2,4,1,104,75,34.66,0,1,0
Mushfiqur Rahim (Bangladesh),2005-2018,60,112,8,3636,200,34.96,5,19,8
Mushfiqur Rahman (Bangladesh),2001-2004,10,19,2,232,46*,13.64,0,0,5
Mustafizur Rahman (Bangladesh),2015-2018,10,15,5,38,10*,3.8,0,0,5
Naeem Islam (Bangladesh),2008-2012,8,15,2,416,108,32,1,1,0
Nafees Iqbal (Bangladesh),2004-2006,11,22,0,518,121,23.54,1,2,2
Naimur Rahman (Bangladesh),2000-2002,8,15,1,210,48,15,0,0,1
Nasir Hossain (Bangladesh),2011-2017,19,32,2,1044,100,34.8,1,6,2
Nazimuddin (Bangladesh),2011-2012,3,6,0,125,78,20.83,0,1,2
Nazmul Hossain (Bangladesh),2004-2011,2,4,2,16,8*,8,0,0,2
Nazmul Hossain Shanto (Bangladesh),2017-2017,1,2,0,30,18,15,0,0,0
Nurul Hasan (Bangladesh),2017-2017,1,2,0,47,47,23.5,0,0,1
Rafiqul Islam (Bangladesh),2002-2002,1,2,0,7,6,3.5,0,0,0
Rajin Saleh (Bangladesh),2003-2008,24,46,2,1141,89,25.93,0,7,8
Ranjan Das (Bangladesh),2000-2000,1,2,0,2,2,1,0,0,1
Raqibul Hasan (Bangladesh),2008-2011,9,18,1,336,65,19.76,0,1,2
Robiul Islam (Bangladesh),2010-2014,9,17,6,99,33,9,0,0,6
Rubel Hossain (Bangladesh),2009-2017,25,43,18,237,45*,9.48,0,0,7
Sabbir Rahman (Bangladesh),2016-2018,11,22,2,481,66,24.05,0,4,5
Sajedul Islam (Bangladesh),2008-2013,3,6,0,18,6,3,0,0,1
Sanwar Hossain (Bangladesh),2001-2003,9,18,0,345,49,19.16,0,0,1
Shafiul Islam (Bangladesh),2010-2017,11,21,1,211,53,10.55,0,1,2
Shahadat Hossain (Bangladesh),2005-2015,38,69,17,521,40,10.01,0,0,10
Shahriar Hossain (Bangladesh),2000-2004,3,5,0,99,48,19.8,0,0,0
Shahriar Nafees (Bangladesh),2005-2013,24,48,0,1267,138,26.39,1,7,4
Shamsur Rahman (Bangladesh),2014-2014,6,12,0,305,106,25.41,1,0,1
Shakib Al Hasan (Bangladesh),2007-2017,51,96,7,3594,217,40.38,5,22,3
Shuvagata Hom (Bangladesh),2014-2016,8,15,4,244,50,22.18,0,1,3
Sohag Gazi (Bangladesh),2012-2014,10,16,1,325,101*,21.66,1,0,3
Sohrawordi Shuvo (Bangladesh),2011-2011,1,2,0,15,15,7.5,0,0,1
Soumya Sarkar (Bangladesh),2015-2017,10,19,0,558,86,29.36,0,4,0
Subashis Roy (Bangladesh),2017-2017,4,6,5,14,12*,14,0,0,1
Sunzamul Islam (Bangladesh),2018-2018,1,1,0,24,24,24,0,0,0
Syed Rasel (Bangladesh),2005-2007,6,12,4,37,19,4.62,0,0,2
Taijul Islam (Bangladesh),2014-2018,18,30,4,225,32,8.65,0,0,2
Talha Jubair (Bangladesh),2002-2004,7,14,6,52,31,6.5,0,0,6
Tamim Iqbal (Bangladesh),2008-2018,54,104,1,3985,206,38.68,8,25,7
Tapash Baisya (Bangladesh),2002-2005,21,40,6,384,66,11.29,0,2,9
Tareq Aziz (Bangladesh),2004-2004,3,6,4,22,10*,11,0,0,2
Taskin Ahmed (Bangladesh),2017-2017,5,10,0,68,33,6.8,0,0,1
Tushar Imran (Bangladesh),2002-2007,5,10,0,89,28,8.9,0,0,3
Ziaur Rahman (Bangladesh),2013-2013,1,2,0,14,14,7,0,0,1
R Abel (England),1888-1902,13,22,2,744,132*,37.2,2,2,1
CA Absolom (England),1879-1879,1,2,0,58,52,29,0,1,0
CJ Adams (England),1999-2000,5,8,0,104,31,13,0,0,0
U Afzaal (England),2001-2001,3,6,1,83,54,16.6,0,1,0
JP Agnew (England),1984-1985,3,4,3,10,5,10,0,0,0
Kabir Ali (England),2003-2003,1,2,0,10,9,5,0,0,0
MM Ali (England),2014-2018,50,85,8,2495,155*,32.4,5,12,9
DA Allen (England),1960-1966,39,51,15,918,88,25.5,0,5,4
GOB Allen (England),1930-1948,25,33,2,750,122,24.19,1,3,1
MJC Allom (England),1930-1931,5,3,2,14,8*,14,0,0,0
PJW Allott (England),1981-1985,13,18,3,213,52*,14.2,0,1,2
TR Ambrose (England),2008-2009,11,16,1,447,102,29.8,1,3,2
LEG Ames (England),1929-1939,47,72,12,2434,149,40.56,8,7,5
DL Amiss (England),1966-1977,50,88,10,3612,262*,46.3,11,11,10
JM Anderson (England),2003-2018,138*,191,76,1130,81,9.82,0,1,24
KV Andrew (England),1954-1963,2,4,1,29,15,9.66,0,0,0
ZS Ansari (England),2016-2016,3,5,0,49,32,9.8,0,0,2
R Appleyard (England),1954-1956,9,9,6,51,19*,17,0,0,0
AG Archer (England),1899-1899,1,2,1,31,24*,31,0,0,0
T Armitage (England),1877-1877,2,3,0,33,21,11,0,0,0
EG Arnold (England),1903-1907,10,15,3,160,40,13.33,0,0,5
GG Arnold (England),1967-1975,34,46,11,421,59,12.02,0,1,5
J Arnold (England),1931-1931,1,2,0,34,34,17,0,0,1
WE Astill (England),1927-1930,9,15,0,190,40,12.66,0,0,2
MA Atherton (England),1989-2001,115,212,7,7728,185*,37.69,16,46,20
CWJ Athey (England),1980-1988,23,41,1,919,123,22.97,1,4,2
W Attewell (England),1884-1892,10,15,6,150,43*,16.66,0,0,4
RJ Bailey (England),1988-1990,4,8,0,119,43,14.87,0,0,2
TE Bailey (England),1949-1959,61,91,14,2290,134*,29.74,1,10,7
DL Bairstow (England),1979-1981,4,7,1,125,59,20.83,0,1,1
JM Bairstow (England),2012-2018,54*,93,6,3341,167*,38.4,5,17,5
AH Bakewell (England),1931-1935,6,9,0,409,107,45.44,1,3,0
JC Balderstone (England),1976-1976,2,4,0,39,35,9.75,0,0,2
JT Ball (England),2016-2017,4,8,0,67,31,8.37,0,0,1
GS Ballance (England),2014-2017,23,42,2,1498,156,37.45,4,7,3
RW Barber (England),1960-1968,28,45,3,1495,185,35.59,1,9,1
W Barber (England),1935-1935,2,4,0,83,44,20.75,0,0,0
GD Barlow (England),1976-1977,3,5,1,17,7*,4.25,0,0,1
RG Barlow (England),1881-1887,17,30,4,591,62,22.73,0,2,3
SF Barnes (England),1901-1914,27,39,9,242,38*,8.06,0,0,8
W Barnes (England),1880-1890,21,33,2,725,134,23.38,1,5,3
CJ Barnett (England),1933-1948,20,35,4,1098,129,35.41,2,5,1
KJ Barnett (England),1988-1989,4,7,0,207,80,29.57,0,2,1
F Barratt (England),1929-1930,5,4,1,28,17,9.33,0,0,0
KF Barrington (England),1955-1968,82,131,15,6806,256,58.67,20,35,5
VA Barton (England),1892-1892,1,1,0,23,23,23,0,0,0
W Bates (England),1881-1887,15,26,2,656,64,27.33,0,5,0
GJ Batty (England),2003-2016,9,12,2,149,38,14.9,0,0,2
G Bean (England),1892-1892,3,5,0,92,50,18.4,0,1,0
AV Bedser (England),1946-1955,51,71,15,714,79,12.75,0,1,11
IR Bell (England),2004-2015,118,205,24,7727,235,42.69,22,46,14
JE Benjamin (England),1994-1994,1,1,0,0,0,0,0,0,1
MR Benson (England),1986-1986,1,2,0,51,30,25.5,0,0,0
R Berry (England),1950-1950,2,4,2,6,4*,3,0,0,1
DM Bess (England),2018-2018,2*,3,0,111,57,37,0,1,0
MP Bicknell (England),1993-2003,4,7,0,45,15,6.42,0,0,3
JG Binks (England),1964-1964,2,4,0,91,55,22.75,0,1,0
MC Bird (England),1910-1914,10,16,1,280,61,18.66,0,2,2
J Birkenshaw (England),1973-1974,5,7,0,148,64,21.14,0,1,1
ID Blackwell (England),2006-2006,1,1,0,4,4,4,0,0,0
RJ Blakey (England),1993-1993,2,4,0,7,6,1.75,0,0,2
Hon.IFW Bligh (England),1882-1883,4,7,1,62,19,10.33,0,0,2
C Blythe (England),1901-1910,19,31,12,183,27,9.63,0,0,4
JH Board (England),1899-1906,6,12,2,108,29,10.8,0,0,3
JB Bolus (England),1963-1964,7,12,0,496,88,41.33,0,4,0
MW Booth (England),1913-1914,2,2,0,46,32,23,0,0,0
RS Bopara (England),2007-2012,13,19,1,575,143,31.94,3,0,5
SG Borthwick (England),2014-2014,1,2,0,5,4,2.5,0,0,0
BJT Bosanquet (England),1903-1905,7,14,3,147,27,13.36,0,0,0
IT Botham (England),1977-1992,102,161,6,5200,208,33.54,14,22,14
MP Bowden (England),1889-1889,2,2,0,25,25,12.5,0,0,1
WE Bowes (England),1932-1946,15,11,5,28,10*,4.66,0,0,2
EH Bowley (England),1929-1930,5,7,0,252,109,36,1,0,0
G Boycott (England),1964-1982,108,193,23,8114,246*,47.72,22,42,10
WM Bradley (England),1899-1899,2,2,1,23,23*,23,0,0,1
LC Braund (England),1901-1908,23,41,3,987,104,25.97,3,2,7
JM Brearley (England),1976-1981,39,66,3,1442,91,22.88,0,9,6
W Brearley (England),1905-1912,4,5,2,21,11*,7,0,0,2
DV Brennan (England),1951-1951,2,2,0,16,16,8,0,0,1
TT Bresnan (England),2009-2013,23,26,4,575,91,26.13,0,3,3
J Briggs (England),1884-1899,33,50,5,815,121,18.11,1,2,10
BC Broad (England),1984-1989,25,44,2,1661,162,39.54,6,6,3
SCJ Broad (England),2007-2018,118*,170,22,2974,169,20.09,1,12,27
W Brockwell (England),1893-1899,7,12,0,202,49,16.83,0,0,1
HR Bromley-Davenport (England),1896-1899,4,6,0,128,84,21.33,0,1,1
D Brookes (England),1948-1948,1,2,0,17,10,8.5,0,0,0
A Brown (England),1961-1961,2,1,1,3,3*,-,0,0,0
DJ Brown (England),1965-1969,26,34,5,342,44*,11.79,0,0,6
FR Brown (England),1931-1953,22,30,1,734,79,25.31,0,5,1
G Brown (England),1921-1923,7,12,2,299,84,29.9,0,2,2
JT Brown (England),1894-1899,8,16,3,470,140,36.15,1,1,2
SJE Brown (England),1996-1996,1,2,1,11,10*,11,0,0,0
CP Buckenham (England),1910-1910,4,7,0,43,17,6.14,0,0,1
AR Butcher (England),1979-1979,1,2,0,34,20,17,0,0,0
MA Butcher (England),1997-2004,71,131,7,4288,173*,34.58,8,23,10
RO Butcher (England),1981-1981,3,5,0,71,32,14.2,0,0,1
HJ Butler (England),1947-1948,2,2,1,15,15*,15,0,0,1
HR Butt (England),1896-1896,3,4,1,22,13,7.33,0,0,1
JC Buttler (England),2014-2018,20*,33,6,899,85,33.29,0,7,2
AR Caddick (England),1993-2003,62,95,12,861,49*,10.37,0,0,19
Hon.FSG Calthorpe (England),1930-1930,4,7,0,129,49,18.42,0,0,1
DJ Capel (England),1987-1990,15,25,1,374,98,15.58,0,2,4
MA Carberry (England),2010-2014,6,12,0,345,60,28.75,0,1,2
AW Carr (England),1922-1929,11,13,1,237,63,19.75,0,1,0
DB Carr (England),1951-1952,2,4,0,135,76,33.75,0,1,0
DW Carr (England),1909-1909,1,1,0,0,0,0,0,0,1
TW Cartwright (England),1964-1965,5,7,2,26,9,5.2,0,0,2
APF Chapman (England),1924-1931,26,36,4,925,121,28.9,1,5,2
HRJ Charlwood (England),1877-1877,2,4,0,63,36,15.75,0,0,1
W Chatterton (England),1892-1892,1,1,0,48,48,48,0,0,0
JH Childs (England),1988-1988,2,4,4,2,2*,-,0,0,0
S Christopherson (England),1884-1884,1,1,0,17,17,17,0,0,0
EW Clark (England),1929-1934,8,9,5,36,10,9,0,0,1
R Clarke (England),2003-2003,2,3,0,96,55,32,0,1,0
JC Clay (England),1935-1935,1,-,-,-,-,-,-,-,-
DB Close (England),1949-1976,22,37,2,887,70,25.34,0,4,3
LJ Coldwell (England),1962-1964,7,7,5,9,6*,4.5,0,0,1
PD Collingwood (England),2003-2011,68,115,10,4259,206,40.56,10,20,6
DCS Compton (England),1937-1957,78,131,15,5807,278,50.06,17,28,10
NRD Compton (England),2012-2016,16,30,3,775,117,28.7,2,2,3
AN Cook (England),2006-2018,156*,282,16,12145,294,45.65,32,56,8
C Cook (England),1947-1947,1,2,0,4,4,2,0,0,1
G Cook (England),1982-1983,7,13,0,203,66,15.61,0,2,1
NGB Cook (England),1983-1989,15,25,4,179,31,8.52,0,0,2
GA Cope (England),1977-1978,3,3,0,40,22,13.33,0,0,1
WH Copson (England),1939-1947,3,1,0,6,6,6,0,0,0
DG Cork (England),1995-2002,37,56,8,864,59,18,0,3,5
WL Cornford (England),1930-1930,4,4,0,36,18,9,0,0,0
RMH Cottam (England),1969-1973,4,5,1,27,13,6.75,0,0,0
Hon.CJ Coventry (England),1889-1889,2,2,1,13,12,13,0,0,0
NG Cowans (England),1982-1985,19,29,7,175,36,7.95,0,0,5
CS Cowdrey (England),1984-1988,6,8,1,101,38,14.42,0,0,1
MC Cowdrey (England),1954-1975,114,188,15,7624,182,44.06,22,38,9
A Coxon (England),1948-1948,1,2,0,19,19,9.5,0,0,1
MS Crane (England),2018-2018,1,2,0,6,4,3,0,0,0
J Cranston (England),1890-1890,1,2,0,31,16,15.5,0,0,0
K Cranston (England),1947-1948,8,14,0,209,45,14.92,0,0,2
JF Crapp (England),1948-1949,7,13,2,319,56,29,0,3,1
JN Crawford (England),1906-1908,12,23,2,469,74,22.33,0,2,1
JP Crawley (England),1994-2003,37,61,9,1800,156*,34.61,4,9,4
RDB Croft (England),1996-2001,21,34,8,421,37*,16.19,0,0,2
SM Curran (England),2018-2018,1*,1,1,16,16*,-,0,0,0
TK Curran (England),2017-2018,2,3,1,66,39,33,0,0,0
TS Curtis (England),1988-1989,5,9,0,140,41,15.55,0,0,1
WR Cuttell (England),1899-1899,2,4,0,65,21,16.25,0,0,0
EW Dawson (England),1928-1930,5,9,0,175,55,19.44,0,1,0
LA Dawson (England),2016-2017,3,6,2,84,66*,21,0,1,3
RKJ Dawson (England),2001-2003,7,13,3,114,19*,11.4,0,0,0
H Dean (England),1912-1912,3,4,2,10,8,5,0,0,1
PAJ DeFreitas (England),1986-1995,44,68,5,934,88,14.82,0,4,10
MH Denness (England),1969-1975,28,45,3,1667,188,39.69,4,7,2
D Denton (England),1905-1910,11,22,1,424,104,20.19,1,1,4
JG Dewes (England),1948-1950,5,10,0,121,67,12.1,0,1,1
ER Dexter (England),1958-1968,62,102,8,4502,205,47.89,9,27,6
GR Dilley (England),1979-1989,41,58,19,521,56,13.35,0,2,10
AE Dipper (England),1921-1921,1,2,0,51,40,25.5,0,0,0
GHG Doggart (England),1950-1950,2,4,0,76,29,19,0,0,1
BL D'Oliveira (England),1966-1972,44,70,8,2484,158,40.06,5,15,4
HE Dollery (England),1947-1950,4,7,0,72,37,10.28,0,0,2
A Dolphin (England),1921-1921,1,2,0,1,1,0.5,0,0,1
JWHT Douglas (England),1911-1925,23,35,2,962,119,29.15,1,6,3
PR Downton (England),1981-1988,30,48,8,785,74,19.62,0,4,4
NF Druce (England),1897-1898,5,9,0,252,64,28,0,1,0
A Ducat (England),1921-1921,1,2,0,5,3,2.5,0,0,0
BM Duckett (England),2016-2016,4,7,0,110,56,15.71,0,1,1
G Duckworth (England),1924-1936,24,28,12,234,39*,14.62,0,0,2
KS Duleepsinhji (England),1929-1931,12,19,2,995,173,58.52,3,5,0
FJ Durston (England),1921-1921,1,2,1,8,6*,8,0,0,0
MA Ealham (England),1996-1998,8,13,3,210,53*,21,0,2,0
PH Edmonds (England),1975-1987,51,65,15,875,64,17.5,0,2,5
JH Edrich (England),1963-1976,77,127,9,5138,310*,43.54,12,24,6
WJ Edrich (England),1938-1955,39,63,2,2440,219,40,6,13,3
Harry Elliott (England),1928-1934,4,5,1,61,37*,15.25,0,0,0
RM Ellison (England),1984-1986,11,16,1,202,41,13.46,0,0,1
JE Emburey (England),1978-1995,64,96,20,1713,75,22.53,0,10,16
GM Emmett (England),1948-1948,1,2,0,10,10,5,0,0,1
T Emmett (England),1877-1882,7,13,1,160,48,13.33,0,0,1
AJ Evans (England),1921-1921,1,2,0,18,14,9,0,0,0
TG Evans (England),1946-1959,91,133,14,2439,104,20.49,2,8,17
AE Fagg (England),1936-1939,5,8,0,150,39,18.75,0,0,0
NH Fairbrother (England),1987-1993,10,15,1,219,83,15.64,0,1,1
FL Fane (England),1906-1910,14,27,1,682,143,26.23,1,3,3
K Farnes (England),1934-1939,15,17,5,58,20,4.83,0,0,4
W Farrimond (England),1931-1935,4,7,0,116,35,16.57,0,0,0
PGH Fender (England),1921-1929,13,21,1,380,60,19,0,2,3
JJ Ferris (England),1892-1892,1,1,0,16,16,16,0,0,0
A Fielder (England),1904-1908,6,12,5,78,20,11.14,0,0,0
ST Finn (England),2010-2016,36,47,22,279,56,11.16,0,1,9
LB Fishlock (England),1936-1947,4,5,1,47,19*,11.75,0,0,1
JA Flavell (England),1961-1964,4,6,2,31,14,7.75,0,0,0
KWR Fletcher (England),1968-1982,59,96,14,3272,216,39.9,7,19,6
A Flintoff (England),1998-2009,78,128,9,3795,167,31.89,5,26,17
W Flowers (England),1884-1893,8,14,0,254,56,18.14,0,1,0
FGJ Ford (England),1894-1895,5,9,0,168,48,18.66,0,0,1
FR Foster (England),1911-1912,11,15,1,330,71,23.57,0,3,1
JS Foster (England),2001-2002,7,12,3,226,48,25.11,0,0,1
NA Foster (England),1983-1993,29,45,7,446,39,11.73,0,0,9
RE Foster (England),1903-1907,8,14,1,602,287,46.3,1,1,1
AJ Fothergill (England),1889-1889,2,2,0,33,32,16.5,0,0,0
G Fowler (England),1982-1985,21,37,0,1307,201,35.32,3,8,3
ARC Fraser (England),1989-1998,46,67,15,388,32,7.46,0,0,9
AP Freeman (England),1924-1929,12,16,5,154,50*,14,0,1,2
