Mat,Inns,NO,Runs,HS,Ave,100,50,0
4,8,0,67,27,8.37,0,0,3
4,7,0,63,16,9,0,0,0
4,7,3,60,23*,15,0,0,0
2,4,0,41,18,10.25,0,0,0
3,6,2,40,19,10,0,0,0
2,4,0,23,20,5.75,0,0,1
2,3,1,12,6*,6,0,0,0
1,2,0,11,7,5.5,0,0,0
1,2,0,9,6,4.5,0,0,0
2,3,1,9,7,4.5,0,0,0
5,10,2,7,3*,0.87,0,0,5
1,2,0,5,3,2.5,0,0,0
1,1,1,2,2*,-,0,0,0
2,2,0,1,1,0.5,0,0,1
1,1,0,0,0,0,0,0,1
5,9,1,205,63*,25.62,0,1,0
5,10,1,200,59*,22.22,0,1,1
5,9,1,182,49,22.75,0,0,1
5,9,0,156,75,17.33,0,1,2
4,8,2,139,49,23.16,0,0,0
4,8,1,128,33,18.28,0,0,0
3,6,1,121,53*,24.2,0,1,0
5,9,2,97,24*,13.85,0,0,1
4,8,1,96,24,13.71,0,0,2
4,8,1,94,49*,13.42,0,0,0
4,7,0,88,31,12.57,0,0,0
4,8,1,82,31,11.71,0,0,1
4,7,0,58,19,8.28,0,0,2
4,7,0,57,38,8.14,0,0,2
3,5,0,50,24,10,0,0,1
4,8,1,49,18*,7,0,0,1
2,4,0,47,29,11.75,0,0,0
3,5,0,47,20,9.4,0,0,0
2,4,1,40,26,13.33,0,0,1
4,7,2,35,14,7,0,0,3
1,2,0,34,27,17,0,0,0
3,5,0,34,20,6.8,0,0,0
3,6,1,27,12*,5.4,0,0,1
1,2,0,25,15,12.5,0,0,0
1,2,1,17,15*,17,0,0,0
5,9,1,16,6,2,0,0,3
1,2,0,13,9,6.5,0,0,0
1,2,1,10,8,10,0,0,0
1,1,0,9,9,9,0,0,0
2,4,0,9,4,2.25,0,0,1
1,2,0,8,6,4,0,0,0
2,3,0,8,6,2.66,0,0,1
1,2,0,7,7,3.5,0,0,1
1,2,0,7,4,3.5,0,0,0
1,2,0,6,5,3,0,0,0
2,3,1,6,3,3,0,0,0
1,1,0,5,5,5,0,0,0
1,2,0,4,4,2,0,0,1
1,2,0,4,4,2,0,0,1
1,2,0,4,2,2,0,0,0
1,2,0,0,0,0,0,0,2
6,11,0,392,167,35.63,1,1,3
6,12,0,311,65,25.91,0,3,1
6,11,1,226,78,22.6,0,2,0
6,12,0,190,45,15.83,0,0,1
6,11,0,184,33,16.72,0,0,0
6,11,0,182,46,16.54,0,0,1
6,11,1,179,58,17.9,0,1,1
6,12,1,164,44,14.9,0,0,1
6,11,1,155,46,15.5,0,0,1
5,9,0,151,69,16.77,0,1,2
4,7,3,149,60*,37.25,0,1,1
6,11,2,148,37,16.44,0,0,0
6,11,0,135,35,12.27,0,0,1
6,12,0,107,28,8.91,0,0,0
4,8,1,105,34*,15,0,0,0
6,11,1,94,25,9.4,0,0,2
3,6,0,67,27,11.16,0,0,0
3,6,0,60,37,10,0,0,2
3,6,0,54,24,9,0,0,0
2,4,1,53,28,17.66,0,0,1
2,4,0,44,29,11,0,0,0
6,12,5,42,7*,6,0,0,0
2,4,0,40,26,10,0,0,0
1,2,0,38,38,19,0,0,1
4,8,0,37,17,4.62,0,0,2
5,9,5,30,9*,7.5,0,0,0
4,8,1,28,10,4,0,0,1
1,2,1,22,18*,22,0,0,0
1,2,0,20,20,10,0,0,1
1,2,0,16,16,8,0,0,1
1,2,0,14,13,7,0,0,0
1,2,0,11,7,5.5,0,0,0
1,2,1,1,1,1,0,0,0
1,2,0,0,0,0,0,0,2
7,14,1,423,85,32.53,0,3,0
7,14,1,327,82*,25.15,0,2,1
6,12,2,250,49,25,0,0,0
7,14,1,249,70,19.15,0,1,0
7,12,0,209,37,17.41,0,0,1
7,13,0,192,42,14.76,0,0,2
7,14,0,185,58,13.21,0,1,2
7,13,1,178,46,14.83,0,0,1
7,14,0,158,47,11.28,0,0,1
4,8,0,140,39,17.5,0,0,0
6,12,1,134,47*,12.18,0,0,2
6,11,2,131,49,14.55,0,0,1
7,14,0,122,36,8.71,0,0,0
3,7,0,113,31,16.14,0,0,1
5,10,1,94,41,10.44,0,0,1
5,10,0,94,38,9.4,0,0,2
4,8,3,83,38*,16.6,0,0,2
2,4,1,79,47,26.33,0,0,0
5,10,1,76,34,8.44,0,0,1
7,12,4,68,43,8.5,0,0,5
6,10,4,67,19*,11.16,0,0,0
3,4,1,54,40,18,0,0,0
4,7,1,49,29,8.16,0,0,2
2,4,1,45,16*,15,0,0,0
2,4,0,42,15,10.5,0,0,0
2,4,0,41,28,10.25,0,0,1
2,4,2,31,19*,15.5,0,0,1
2,4,0,27,14,6.75,0,0,1
4,6,0,25,9,4.16,0,0,1
1,2,2,22,15*,-,0,0,0
4,8,1,22,8,3.14,0,0,3
1,1,1,14,14*,-,0,0,0
2,4,0,12,7,3,0,0,1
3,6,0,9,5,1.5,0,0,3
1,1,0,5,5,5,0,0,0
1,1,0,0,0,0,0,0,1
4,7,0,213,138,30.42,1,0,0
4,7,0,161,79,23,0,1,0
4,7,0,149,97,21.28,0,1,1
4,8,0,149,71,18.62,0,1,1
4,7,1,100,69,16.66,0,1,1
2,4,0,97,72,24.25,0,1,0
4,7,0,94,38,13.42,0,0,1
4,7,0,85,37,12.14,0,0,0
4,8,1,83,45,11.85,0,0,0
4,8,0,76,20,9.5,0,0,1
2,4,0,74,39,18.5,0,0,0
3,6,0,66,26,11,0,0,2
2,4,0,62,45,15.5,0,0,0
2,4,0,59,26,14.75,0,0,0
2,4,1,56,40,18.66,0,0,0
4,8,0,55,36,6.87,0,0,1
4,7,0,53,28,7.57,0,0,1
3,5,2,46,26,15.33,0,0,0
2,4,0,44,23,11,0,0,0
