Mat,Inns,NO,Runs,HS,Ave,100,50,0
2,4,1,31,13,10.33,0,0,0
1,2,1,30,19,30,0,0,0
2,4,1,29,10*,9.66,0,0,0
4,8,2,28,13*,4.66,0,0,1
3,6,2,27,19,6.75,0,0,2
2,4,0,26,20,6.5,0,0,2
1,2,0,22,18,11,0,0,0
1,2,1,21,18*,21,0,0,0
1,2,0,20,12,10,0,0,0
4,6,2,20,10*,5,0,0,1
4,8,2,20,6*,3.33,0,0,1
9,16,1,532,91,35.46,0,5,2
11,20,0,314,76,15.7,0,2,3
13,24,1,314,39,13.65,0,0,3
11,21,5,312,89,19.5,0,1,1
8,14,2,296,90,24.66,0,3,3
9,16,1,288,61,19.2,0,1,0
12,23,1,254,32,11.54,0,0,1
8,14,1,196,34,15.07,0,0,2
9,18,2,171,44,10.68,0,0,2
6,12,0,170,47,14.16,0,0,3
6,12,3,158,39,17.55,0,0,0
5,10,0,142,39,14.2,0,0,1
5,9,1,139,47,17.37,0,0,1
6,11,0,138,37,12.54,0,0,1
7,14,2,107,43,8.91,0,0,4
5,9,0,105,28,11.66,0,0,0
10,18,2,100,17,6.25,0,0,5
2,4,0,93,80,23.25,0,1,1
10,19,0,93,29,4.89,0,0,4
3,6,0,91,34,15.16,0,0,0
3,6,1,91,61*,18.2,0,1,0
1,1,0,89,89,89,0,1,0
3,5,0,88,53,17.6,0,1,1
4,7,0,87,37,12.42,0,0,2
4,8,2,82,21,13.66,0,0,0
4,8,0,76,32,9.5,0,0,1
9,17,3,73,17,5.21,0,0,4
3,6,1,70,46*,14,0,0,1
4,8,0,69,36,8.62,0,0,3
2,3,0,65,57,21.66,0,1,0
1,2,0,63,50,31.5,0,1,0
2,4,0,60,33,15,0,0,0
3,6,0,59,26,9.83,0,0,1
2,4,0,58,38,14.5,0,0,0
2,4,1,58,24,19.33,0,0,0
3,6,1,58,34,11.6,0,0,1
1,2,0,56,36,28,0,0,0
2,3,2,55,39*,55,0,0,0
2,4,0,55,35,13.75,0,0,1
3,6,0,55,25,9.16,0,0,0
3,5,0,53,30,10.6,0,0,1
2,4,0,51,45,12.75,0,0,1
1,2,0,50,50,25,0,1,1
7,13,5,48,10*,6,0,0,1
1,2,0,44,39,22,0,0,0
2,4,1,43,20,14.33,0,0,0
2,3,0,37,28,12.33,0,0,0
2,3,0,35,24,11.66,0,0,0
6,11,1,35,18,3.5,0,0,4
1,2,1,32,20,32,0,0,0
13,23,2,542,107,25.8,1,2,2
13,24,0,503,144,20.95,1,1,1
13,25,1,388,60*,16.16,0,3,2
15,29,1,374,54,13.35,0,1,0
16,31,0,372,64,12,0,1,8
15,27,1,270,40,10.38,0,0,2
8,15,3,266,58,22.16,0,1,0
8,13,2,258,45,23.45,0,0,2
11,19,2,238,61,14,0,1,2
8,16,1,230,55,15.33,0,1,3
8,14,1,207,63,15.92,0,1,0
8,14,1,182,49,14,0,0,2
6,12,2,135,49*,13.5,0,0,1
7,12,0,128,46,10.66,0,0,3
9,16,2,122,36*,8.71,0,0,2
6,9,1,116,34,14.5,0,0,1
5,10,0,116,27,11.6,0,0,2
11,21,5,112,16,7,0,0,5
4,7,1,111,60*,18.5,0,1,2
5,8,1,109,68*,15.57,0,1,1
1,1,0,107,107,107,1,0,0
10,19,3,107,19,6.68,0,0,5
4,7,0,97,40,13.85,0,0,0
2,4,0,96,59,24,0,1,0
12,20,2,96,20,5.33,0,0,5
6,12,1,94,20,8.54,0,0,1
5,10,0,79,28,7.9,0,0,1
2,4,0,72,31,18,0,0,0
3,5,0,69,30,13.8,0,0,1
11,20,4,69,15*,4.31,0,0,9
3,5,0,68,44,13.6,0,0,0
5,9,0,65,41,7.22,0,0,2
5,8,0,63,21,7.87,0,0,1
6,11,1,62,23,6.2,0,0,2
4,7,3,59,16*,14.75,0,0,0
4,8,1,59,20,8.42,0,0,1
2,4,0,56,31,14,0,0,1
4,8,0,55,18,6.87,0,0,0
4,8,0,50,19,6.25,0,0,1
2,4,0,48,22,12,0,0,0
2,4,0,48,30,12,0,0,1
3,6,0,46,15,7.66,0,0,1
4,6,3,46,17,15.33,0,0,1
5,10,1,44,16,4.88,0,0,3
3,4,1,43,21*,14.33,0,0,1
2,4,3,40,15*,40,0,0,0
7,10,4,40,12,6.66,0,0,2
4,7,2,34,16,6.8,0,0,0
2,4,1,33,18,11,0,0,1
13,24,2,496,138,22.54,1,1,2
9,16,2,383,106*,27.35,1,2,1
16,30,3,316,56,11.7,0,1,7
9,18,3,270,45*,18,0,0,3
15,28,0,211,40,7.53,0,0,9
9,16,2,197,64,14.07,0,1,2
10,20,3,178,43*,10.47,0,0,1
7,12,1,165,51,15,0,1,1
10,17,1,156,30*,9.75,0,0,2
9,16,1,155,51,10.33,0,1,2
6,12,2,153,67,15.3,0,1,0
7,13,2,146,27,13.27,0,0,1
2,4,0,139,69,34.75,0,2,0
2,4,0,117,52,29.25,0,1,0
9,18,1,115,28,6.76,0,0,2
11,20,4,110,17,6.87,0,0,3
5,8,1,106,37*,15.14,0,0,1
6,11,1,96,25,9.6,0,0,2
8,14,0,90,24,6.42,0,0,2
10,18,1,88,22,5.17,0,0,5
11,21,1,75,16,3.75,0,0,8
5,10,1,70,20*,7.77,0,0,2
2,4,0,67,32,16.75,0,0,0
9,17,3,64,23,4.57,0,0,6
2,4,1,62,32*,20.66,0,0,0
3,6,1,61,36,12.2,0,0,2
4,8,1,61,18,8.71,0,0,1
3,6,0,60,30,10,0,0,0
4,8,3,58,25,11.6,0,0,2
5,9,0,58,21,6.44,0,0,0
3,6,0,56,35,9.33,0,0,2
3,6,0,55,19,9.16,0,0,2
4,8,1,52,17,7.42,0,0,0
6,11,3,51,27*,6.37,0,0,4
8,13,0,51,17,3.92,0,0,6
4,8,1,50,11,7.14,0,0,1
5,10,0,50,13,5,0,0,1
4,7,0,49,33,7,0,0,2
4,8,1,46,15,6.57,0,0,2
4,8,0,45,15,5.62,0,0,1
4,8,1,44,30,6.28,0,0,3
3,6,1,41,22*,8.2,0,0,2
1,2,1,40,25,40,0,0,0
3,5,0,40,20,8,0,0,1
2,4,2,39,34*,19.5,0,0,0
2,4,1,39,18,13,0,0,0
4,7,1,37,9,6.16,0,0,1
6,11,1,37,16*,3.7,0,0,3
2,4,0,36,18,9,0,0,0
2,4,1,36,22,12,0,0,1
11,21,1,479,102,23.95,1,3,2
11,22,2,462,102,23.1,1,1,1
11,22,3,417,75*,21.94,0,2,4
10,20,1,393,115*,20.68,1,1,1
10,19,2,379,75,22.29,0,3,2
10,20,0,285,63,14.25,0,1,3
9,18,0,234,62,13,0,2,2
12,23,0,230,54,10,0,1,1
13,26,1,222,49,8.88,0,0,5
7,14,1,200,48,15.38,0,0,2
10,20,1,193,26,10.15,0,0,0
12,24,2,182,41,8.27,0,0,3
7,14,1,180,38,13.84,0,0,0
10,20,0,168,19,8.4,0,0,3
11,21,1,166,29,8.3,0,0,5
9,18,2,160,38,10,0,0,5
10,19,0,155,43,8.15,0,0,1
11,21,4,128,38,7.52,0,0,3
7,14,0,125,37,8.92,0,0,0
5,10,3,108,34,15.42,0,0,3
6,11,1,97,21,9.7,0,0,0
4,8,1,92,35,13.14,0,0,0
8,16,0,91,20,5.68,0,0,2
6,11,0,85,17,7.72,0,0,1
7,13,1,85,24*,7.08,0,0,4
8,15,1,81,22,5.78,0,0,5
5,10,2,78,18,9.75,0,0,1
7,13,2,76,33*,6.9,0,0,4
2,4,2,75,41*,37.5,0,0,0
4,8,0,71,31,8.87,0,0,1
7,14,4,68,23,6.8,0,0,4
4,7,0,67,23,9.57,0,0,2
4,8,1,63,30,9,0,0,0
4,8,0,59,19,7.37,0,0,1
5,9,0,51,32,5.66,0,0,4
10,19,9,45,13,4.5,0,0,1
5,10,0,44,19,4.4,0,0,3
4,7,0,41,13,5.85,0,0,0
5,10,3,41,9*,5.85,0,0,1
3,6,0,40,19,6.66,0,0,3
8,14,4,40,12,4,0,0,1
3,6,1,39,19,7.8,0,0,1
5,9,2,27,9,3.85,0,0,2
3,6,0,24,17,4,0,0,3
3,5,0,22,11,4.4,0,0,2
1,2,0,21,13,10.5,0,0,0
3,6,0,20,10,3.33,0,0,2
2,4,0,19,9,4.75,0,0,0
2,4,1,19,9,6.33,0,0,1
2,4,1,18,11,6,0,0,1
18,34,1,800,89,24.24,0,7,2
15,28,1,768,78,28.44,0,5,2
16,32,0,662,85,20.68,0,3,3
15,30,1,526,56,18.13,0,1,0
15,29,2,427,95,15.81,0,1,3
12,24,0,366,40,15.25,0,0,3
14,28,1,364,69,13.48,0,2,3
19,37,3,349,71,10.26,0,2,9
19,38,3,343,46,9.8,0,0,6
16,31,3,277,33,9.89,0,0,6
11,22,0,272,43,12.36,0,0,2
15,29,3,267,50,10.26,0,1,5
14,25,2,184,36,8,0,0,6
15,28,2,182,23,7,0,0,5
15,29,6,174,22*,7.56,0,0,6
10,18,2,168,25,10.5,0,0,1
10,19,0,167,29,8.78,0,0,3
12,22,3,156,68,8.21,0,1,5
11,22,1,152,35,7.23,0,0,4
10,19,1,147,62,8.16,0,1,5
12,24,0,123,24,5.12,0,0,7
2,4,0,101,76,25.25,0,1,1
4,8,1,96,22,13.71,0,0,0
4,8,1,82,18*,11.71,0,0,1
2,4,0,74,33,18.5,0,0,0
3,5,1,66,28*,16.5,0,0,2
5,10,0,60,16,6,0,0,1
6,12,1,59,21*,5.36,0,0,3
4,8,2,54,37*,9,0,0,2
1,2,0,53,49,26.5,0,0,0
7,12,6,52,16*,8.66,0,0,1
2,4,1,47,24,15.66,0,0,0
2,4,0,44,22,11,0,0,0
3,6,3,42,11*,14,0,0,0
5,10,1,38,14,4.22,0,0,4
3,6,1,35,15*,7,0,0,2
4,7,0,35,10,5,0,0,1
2,4,1,31,10*,10.33,0,0,0
1,2,1,29,16*,29,0,0,0
2,4,1,29,14*,9.66,0,0,1
10,18,10,27,5*,3.37,0,0,4
2,4,0,26,15,6.5,0,0,0
3,4,2,26,15,13,0,0,1
2,3,0,22,16,7.33,0,0,0
2,4,0,22,12,5.5,0,0,1
2,4,0,22,11,5.5,0,0,0
2,4,0,20,11,5,0,0,1
3,5,0,20,11,4,0,0,0
2,3,0,17,12,5.66,0,0,0
2,4,0,15,6,3.75,0,0,1
4,6,1,250,76*,50,0,2,0
7,14,0,220,42,15.71,0,0,1
4,8,1,160,60,22.85,0,1,0
7,13,1,147,50,12.25,0,1,0
5,9,2,138,46,19.71,0,0,1
6,11,0,132,34,12,0,0,1
4,8,1,125,57*,17.85,0,1,0
7,14,0,118,37,8.42,0,0,3
7,13,1,100,20,8.33,0,0,1
6,12,0,97,26,8.08,0,0,2
5,10,0,89,18,8.9,0,0,0
2,3,1,82,72*,41,0,1,1
3,5,0,81,58,16.2,0,1,0
6,11,0,79,30,7.18,0,0,3
5,9,1,75,30,9.37,0,0,1
3,4,0,66,27,16.5,0,0,1
5,10,2,62,19,7.75,0,0,0
3,6,1,61,26,12.2,0,0,0
5,10,1,61,20,6.77,0,0,4
5,9,2,51,12*,7.28,0,0,2
3,5,0,39,22,7.8,0,0,1
5,8,1,39,17*,5.57,0,0,2
2,4,0,38,13,9.5,0,0,0
4,7,0,37,12,5.28,0,0,2
2,4,0,34,21,8.5,0,0,1
1,2,0,24,24,12,0,0,1
3,5,0,24,13,4.8,0,0,2
2,4,1,22,11,7.33,0,0,0
1,2,0,21,21,10.5,0,0,1
1,2,0,17,14,8.5,0,0,0
4,7,3,16,9,4,0,0,1
4,7,1,13,4,2.16,0,0,1
1,2,0,10,9,5,0,0,0
2,3,0,10,5,3.33,0,0,1
1,2,0,9,6,4.5,0,0,0
2,4,0,9,8,2.25,0,0,2
1,2,2,8,8*,-,0,0,0
2,3,2,7,5*,7,0,0,1
1,2,0,5,5,2.5,0,0,1
1,2,1,3,3*,3,0,0,1
1,2,1,3,3,3,0,0,0
1,2,0,2,2,1,0,0,1
2,4,1,2,2*,0.66,0,0,3
1,1,0,1,1,1,0,0,0
1,2,1,1,1,1,0,0,0
2,3,1,1,1,0.5,0,0,1
1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,2
1,2,1,0,0*,0,0,0,1
11,22,2,557,104,27.85,1,2,2
8,16,2,531,83*,37.92,0,5,0
10,18,0,491,125,27.27,2,1,4
8,15,2,432,75,33.23,0,4,2
12,23,5,428,61,23.77,0,2,6
7,14,1,310,81,23.84,0,2,0
8,14,1,272,74,20.92,0,1,0
5,9,0,270,82,30,0,2,0
7,13,1,241,56,20.08,0,1,1
10,20,0,227,53,11.35,0,1,2
12,24,2,197,29,8.95,0,0,4
11,20,2,186,27,10.33,0,0,3
9,17,0,179,26,10.52,0,0,1
11,20,2,166,30,9.22,0,0,2
10,18,1,152,53,8.94,0,1,6
8,14,2,120,26,10,0,0,1
9,17,2,110,39*,7.33,0,0,1
9,15,0,89,22,5.93,0,0,4
9,15,1,84,41*,6,0,0,5
5,9,4,76,26*,15.2,0,0,0
2,4,0,75,27,18.75,0,0,0
4,8,1,71,26,10.14,0,0,1
9,16,1,71,11,4.73,0,0,5
4,8,1,63,33,9,0,0,1
7,14,2,59,12,4.91,0,0,5
2,4,0,58,36,14.5,0,0,1
5,9,1,53,20,6.62,0,0,2
2,4,0,52,24,13,0,0,1
3,5,0,44,18,8.8,0,0,1
5,9,2,44,24*,6.28,0,0,2
2,4,0,43,16,10.75,0,0,0
2,3,0,33,24,11,0,0,0
2,4,0,32,23,8,0,0,0
4,7,2,32,17*,6.4,0,0,2
1,2,2,21,21*,-,0,0,0
3,6,0,20,10,3.33,0,0,2
1,2,0,19,13,9.5,0,0,0
3,6,1,17,16,3.4,0,0,3
5,8,2,16,10*,2.66,0,0,3
2,3,1,15,6,7.5,0,0,0
2,4,0,15,9,3.75,0,0,2
3,6,1,13,7*,2.6,0,0,2
2,3,0,12,12,4,0,0,2
2,4,1,12,6*,4,0,0,2
1,2,1,11,11*,11,0,0,1
1,2,1,11,8,11,0,0,0
1,2,1,9,7,9,0,0,0
1,2,0,7,4,3.5,0,0,0
1,2,0,5,5,2.5,0,0,1
7,13,0,215,46,16.53,0,0,2
8,15,2,214,34*,16.46,0,0,1
8,15,1,175,31*,12.5,0,0,1
7,13,0,172,50,13.23,0,1,1
8,15,0,158,36,10.53,0,0,3
5,10,1,155,44*,17.22,0,0,1
7,14,1,135,41,10.38,0,0,3
5,10,0,129,33,12.9,0,0,0
6,11,2,128,28,14.22,0,0,0
5,9,0,121,28,13.44,0,0,0
5,10,0,120,51,12,0,1,1
5,8,1,101,53*,14.42,0,1,1
6,10,0,75,17,7.5,0,0,2
4,7,1,69,53*,11.5,0,1,2
3,6,0,64,25,10.66,0,0,0
2,4,2,59,30*,29.5,0,0,0
5,9,0,58,26,6.44,0,0,2
3,6,1,50,27,10,0,0,1
8,15,0,48,8,3.2,0,0,5
3,5,0,47,21,9.4,0,0,1
3,5,0,38,30,7.6,0,0,0
3,6,0,38,17,6.33,0,0,2
2,4,0,32,22,8,0,0,1
4,7,1,31,17,5.16,0,0,2
2,4,0,28,17,7,0,0,1
1,2,0,24,15,12,0,0,0
2,4,0,24,11,6,0,0,0
4,7,3,24,9*,6,0,0,1
4,7,1,23,7,3.83,0,0,2
2,4,1,22,13,7.33,0,0,0
2,4,0,20,13,5,0,0,2
3,5,2,20,8,6.66,0,0,0
2,4,0,16,6,4,0,0,0
1,2,1,15,10*,15,0,0,0
2,4,3,15,7*,15,0,0,1
5,10,1,15,6,1.66,0,0,4
1,2,0,14,11,7,0,0,0
3,6,0,14,10,2.33,0,0,3
1,2,0,11,9,5.5,0,0,0
1,2,0,11,7,5.5,0,0,0
3,5,3,10,6*,5,0,0,0
2,3,0,9,5,3,0,0,1
1,1,0,8,8,8,0,0,0
2,4,1,8,5*,2.66,0,0,1
2,4,0,8,4,2,0,0,1
1,2,0,7,4,3.5,0,0,0
1,2,0,5,4,2.5,0,0,0
2,3,2,4,2*,4,0,0,0
2,4,2,4,3*,2,0,0,1
4,7,2,283,82*,56.6,0,3,0
4,8,0,235,88,29.37,0,1,1
4,8,1,227,74,32.42,0,1,0
4,8,0,192,51,24,0,1,0
4,6,0,187,93,31.16,0,1,0
4,6,0,179,82,29.83,0,2,0
4,8,2,94,37*,15.66,0,0,1
4,8,1,94,32,13.42,0,0,3
4,8,0,90,30,11.25,0,0,1
4,6,0,80,32,13.33,0,0,0
4,7,0,72,21,10.28,0,0,2
2,3,1,45,23*,22.5,0,0,0
4,7,1,40,19,6.66,0,0,1
2,3,0,36,30,12,0,0,1
3,5,1,25,12,6.25,0,0,0
4,7,0,23,7,3.28,0,0,2
3,5,2,19,7,6.33,0,0,0
4,7,1,19,7,3.16,0,0,1
3,5,0,17,5,3.4,0,0,0
2,4,0,15,7,3.75,0,0,0
1,2,0,11,9,5.5,0,0,0
2,3,0,11,9,3.66,0,0,1
3,6,0,11,5,1.83,0,0,1
1,2,0,8,8,4,0,0,1
1,2,0,8,5,4,0,0,0
2,3,1,4,2*,2,0,0,1
3,5,0,1,1,0.2,0,0,4
1,1,1,0,0*,-,0,0,0
1,2,1,0,0*,0,0,0,1
2,3,2,0,0*,0,0,0,1
5,9,0,159,88,17.66,0,1,2
5,10,0,139,37,13.9,0,0,1
5,8,1,128,52,18.28,0,1,1
5,10,1,113,33,12.55,0,0,2
5,9,1,101,28,12.62,0,0,1
5,8,0,100,52,12.5,0,1,1
5,10,0,86,49,8.6,0,0,0
3,6,1,85,32,17,0,0,0
5,8,0,62,15,7.75,0,0,0
2,4,2,53,34*,26.5,0,0,1
5,8,1,53,18*,7.57,0,0,1
4,8,1,48,18,6.85,0,0,3
2,4,2,41,31*,20.5,0,0,1
3,4,0,40,14,10,0,0,0
2,4,0,35,20,8.75,0,0,1
5,8,1,27,9,3.85,0,0,2
2,4,0,26,10,6.5,0,0,0
3,6,1,25,17,5,0,0,1
2,4,0,21,13,5.25,0,0,2
3,3,0,20,9,6.66,0,0,0
3,4,1,15,10,5,0,0,1
2,3,0,14,12,4.66,0,0,1
2,4,0,14,7,3.5,0,0,0
1,2,0,13,11,6.5,0,0,0
1,2,0,12,12,6,0,0,1
1,2,1,11,6*,11,0,0,0
2,3,0,11,11,3.66,0,0,2
1,1,0,10,10,10,0,0,0
3,6,2,10,4*,2.5,0,0,3
1,2,0,9,6,4.5,0,0,0
1,1,0,8,8,8,0,0,0
2,2,0,8,5,4,0,0,0
1,2,1,7,7,7,0,0,0
1,2,1,7,7,7,0,0,0
1,2,0,7,7,3.5,0,0,1
1,2,0,6,4,3,0,0,0
1,2,0,5,5,2.5,0,0,1
3,5,1,5,5,1.25,0,0,3
1,2,1,4,4*,4,0,0,1
1,2,0,4,3,2,0,0,0
1,1,1,3,3*,-,0,0,0
1,2,0,3,3,1.5,0,0,1
2,2,0,2,1,1,0,0,0
1,2,1,1,1,1,0,0,0
2,4,0,1,1,0.25,0,0,3
1,2,1,0,0*,0,0,0,1
1,2,0,0,0,0,0,0,2
1,2,0,0,0,0,0,0,2
1,2,0,0,0,0,0,0,2
3,6,1,141,55,28.2,0,1,1
3,6,0,120,82,20,0,1,0
3,6,0,115,56,19.16,0,1,0
2,4,0,100,41,25,0,0,0
3,6,0,88,46,14.66,0,0,2
3,6,1,70,31*,14,0,0,0
2,4,0,66,33,16.5,0,0,1
2,4,1,66,51*,22,0,1,1
3,6,0,48,29,8,0,0,1
2,4,0,45,17,11.25,0,0,0
2,4,0,41,13,10.25,0,0,0
1,2,0,23,14,11.5,0,0,0
2,3,0,21,11,7,0,0,0
3,5,1,21,13,5.25,0,0,0
2,3,0,16,8,5.33,0,0,0
2,3,0,15,14,5,0,0,1
1,2,0,14,13,7,0,0,0
1,2,1,13,10,13,0,0,0
2,4,2,12,7,6,0,0,1
2,4,0,12,9,3,0,0,0
1,2,1,11,10*,11,0,0,0
1,2,0,9,7,4.5,0,0,0
1,2,0,9,5,4.5,0,0,0
2,3,0,9,9,3,0,0,2
2,4,1,9,6*,3,0,0,2
1,2,0,8,7,4,0,0,0
1,2,0,6,3,3,0,0,0
1,2,0,6,6,3,0,0,1
1,2,0,6,4,3,0,0,0
1,2,1,5,5*,5,0,0,1
1,2,0,5,5,2.5,0,0,1
1,2,0,5,5,2.5,0,0,1
1,2,0,4,3,2,0,0,0
1,2,1,4,3*,4,0,0,0
1,2,0,3,3,1.5,0,0,1
1,2,1,3,3*,3,0,0,1
1,1,0,2,2,2,0,0,0
1,2,0,1,1,0.5,0,0,1
1,1,0,0,0,0,0,0,1
1,1,1,0,0*,-,0,0,0
2,4,0,106,54,26.5,0,1,0
2,4,1,96,50*,32,0,1,1
1,2,0,53,46,26.5,0,0,0
2,4,0,51,26,12.75,0,0,1
3,4,0,50,30,12.5,0,0,1
1,2,1,46,39*,46,0,0,0
1,2,0,44,44,22,0,0,1
1,2,0,43,36,21.5,0,0,0
2,4,0,43,18,10.75,0,0,0
2,4,1,43,13*,14.33,0,0,0
1,2,0,38,37,19,0,0,0
1,2,1,36,36*,36,0,0,1
3,5,2,36,10,12,0,0,0
1,2,0,35,29,17.5,0,0,0
1,2,0,35,35,17.5,0,0,1
1,2,1,34,23,34,0,0,0
2,4,0,31,13,7.75,0,0,0
1,2,0,24,23,12,0,0,0
2,3,1,20,17*,10,0,0,0
2,2,1,19,19,19,0,0,0
2,4,0,19,7,4.75,0,0,0
2,4,0,16,5,4,0,0,0
1,1,1,15,15*,-,0,0,0
1,2,0,12,10,6,0,0,0
1,2,0,12,10,6,0,0,0
1,1,0,11,11,11,0,0,0
1,2,0,11,11,5.5,0,0,1
1,1,0,9,9,9,0,0,0
1,1,0,8,8,8,0,0,0
1,2,0,7,7,3.5,0,0,1
1,1,0,6,6,6,0,0,0
2,2,0,6,6,3,0,0,1
1,2,0,6,5,3,0,0,0
1,1,0,5,5,5,0,0,0
1,1,0,5,5,5,0,0,0
1,1,0,4,4,4,0,0,0
1,1,0,3,3,3,0,0,0
1,2,0,3,3,1.5,0,0,1
1,2,1,3,2,3,0,0,0
2,3,1,3,2*,1.5,0,0,1
1,1,0,2,2,2,0,0,0
1,1,0,1,1,1,0,0,0
1,1,0,1,1,1,0,0,0
1,1,0,1,1,1,0,0,0
2,2,0,1,1,0.5,0,0,1
1,2,0,1,1,0.5,0,0,1
1,1,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,2
1,2,0,0,0,0,0,0,2
3,6,0,223,74,37.16,0,1,0
2,4,0,124,61,31,0,1,0
2,4,0,112,79,28,0,1,0
2,4,0,96,56,24,0,1,0
2,4,0,91,41,22.75,0,0,0
3,5,0,81,33,16.2,0,0,0
2,3,1,79,73*,39.5,0,1,1
2,4,0,46,24,11.5,0,0,1
3,5,0,46,22,9.2,0,0,2
3,5,0,44,19,8.8,0,0,0
1,1,0,43,43,43,0,0,0
2,4,0,38,25,9.5,0,0,1
2,4,0,36,16,9,0,0,0
1,1,0,32,32,32,0,0,0
2,4,1,29,18*,9.66,0,0,0
1,2,0,28,24,14,0,0,0
2,4,1,28,19,9.33,0,0,0
1,2,0,24,18,12,0,0,0
1,1,0,23,23,23,0,0,0
2,4,2,22,13*,11,0,0,1
1,2,0,20,15,10,0,0,0
1,2,0,17,12,8.5,0,0,0
1,1,0,14,14,14,0,0,0
1,2,0,14,8,7,0,0,0
2,4,0,13,5,3.25,0,0,1
1,2,0,11,7,5.5,0,0,0
2,4,2,11,10,5.5,0,0,0
1,2,1,8,7,8,0,0,0
1,2,0,8,6,4,0,0,0
1,2,1,7,7,7,0,0,0
1,2,0,6,4,3,0,0,0
1,2,1,6,6,6,0,0,0
1,2,0,5,5,2.5,0,0,1
1,1,0,4,4,4,0,0,0
1,2,0,3,2,1.5,0,0,0
1,2,0,3,2,1.5,0,0,0
1,2,0,3,3,1.5,0,0,1
2,4,1,3,3,1,0,0,2
1,2,0,2,2,1,0,0,1
1,1,0,1,1,1,0,0,0
1,1,0,1,1,1,0,0,0
1,2,0,1,1,0.5,0,0,1
1,1,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,2
1,2,0,82,69,41,0,1,0
1,2,0,61,38,30.5,0,0,0
1,2,0,38,34,19,0,0,0
1,1,0,24,24,24,0,0,0
1,1,0,24,24,24,0,0,0
1,1,0,18,18,18,0,0,0
1,1,0,13,13,13,0,0,0
1,1,1,11,11*,-,0,0,0
1,1,0,8,8,8,0,0,0
1,1,0,6,6,6,0,0,0
1,1,1,5,5*,-,0,0,0
1,1,0,2,2,2,0,0,0
1,1,0,2,2,2,0,0,0
1,1,0,2,2,2,0,0,0
1,1,0,1,1,1,0,0,0
1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1
1,2,1,0,0*,0,0,0,1
5,8,0,258,94,32.25,0,2,0
5,9,1,158,59,19.75,0,1,0
4,7,0,154,66,22,0,1,0
5,8,1,97,49,13.85,0,0,1
4,6,1,93,48*,18.6,0,0,2
4,7,1,82,22,13.66,0,0,1
3,5,0,77,33,15.4,0,0,0
5,10,2,76,23*,9.5,0,0,1
5,10,1,75,25,8.33,0,0,1
3,4,1,58,31*,19.33,0,0,2
1,2,1,57,47*,57,0,0,0
4,8,0,57,34,7.12,0,0,0
3,5,0,55,35,11,0,0,1
3,5,0,52,42,10.4,0,0,1
3,6,0,51,22,8.5,0,0,0
2,4,0,50,44,12.5,0,0,2
3,5,0,48,28,9.6,0,0,1
3,6,0,47,15,7.83,0,0,1
2,3,0,46,27,15.33,0,0,0
2,4,0,42,29,10.5,0,0,1
1,2,1,41,34,41,0,0,0
1,2,1,29,23*,29,0,0,0
2,4,1,28,15,9.33,0,0,0
2,4,1,28,14,9.33,0,0,0
3,5,0,25,10,5,0,0,1
2,4,0,23,14,5.75,0,0,0
1,2,0,21,14,10.5,0,0,0
2,3,0,20,10,6.66,0,0,1
2,3,2,19,14*,19,0,0,0
2,4,0,15,9,3.75,0,0,1
2,4,0,14,9,3.5,0,0,1
1,2,1,13,12*,13,0,0,0
1,1,0,8,8,8,0,0,0
1,2,1,7,7*,7,0,0,1
1,2,0,7,7,3.5,0,0,1
1,1,0,6,6,6,0,0,0
1,1,0,5,5,5,0,0,0
1,1,0,5,5,5,0,0,0
1,1,0,4,4,4,0,0,0
1,1,0,4,4,4,0,0,0
1,2,0,4,2,2,0,0,0
1,2,1,4,3*,4,0,0,0
1,2,0,4,3,2,0,0,0
1,1,0,3,3,3,0,0,0
1,2,1,3,3*,3,0,0,1
1,2,0,2,1,1,0,0,0
1,2,2,2,1*,-,0,0,0
1,2,0,2,2,1,0,0,1
1,1,1,1,1*,-,0,0,0
6,11,3,468,129*,58.5,2,1,1
6,10,1,282,93,31.33,0,2,0
6,11,1,126,34,12.6,0,0,1
6,11,0,106,42,9.63,0,0,2
6,10,0,103,43,10.3,0,0,2
6,11,1,99,36,9.9,0,0,1
6,10,0,97,41,9.7,0,0,2
3,6,2,88,44*,22,0,0,0
6,10,0,86,32,8.6,0,0,1
6,10,2,82,20*,10.25,0,0,1
6,11,0,82,38,7.45,0,0,3
6,11,0,75,21,6.81,0,0,1
5,8,3,72,27*,14.4,0,0,1
4,7,1,61,36,10.16,0,0,2
5,10,2,50,28,6.25,0,0,4
4,6,1,45,14,9,0,0,1
4,7,0,45,27,6.42,0,0,2
5,8,0,36,15,4.5,0,0,2
3,6,0,31,16,5.16,0,0,1
1,2,0,28,19,14,0,0,0
2,4,0,24,24,6,0,0,3
1,2,0,22,16,11,0,0,0
4,8,3,22,13,4.4,0,0,3
2,4,0,17,16,4.25,0,0,2
4,6,1,17,12,3.4,0,0,2
1,2,1,15,12,15,0,0,0
1,2,0,15,9,7.5,0,0,0
